#chrom	txStart -1MB	txEnd +1MB	name2	strand
16	28858357	30863414	CDIPT_microphthalmia	-
10	59778331	61794852	CDK1_microphthalmia	+
16	88680737	90696354	CDK10_microphthalmia	+
7	150053815	152057897	CDK5_microphthalmia	-
14	49326265	51416461	CDKL1_microphthalmia	-
5	149166778	151184558	CDX1_microphthalmia	+
11	46465933	48565569	CELF1_microphthalmia	-
5	68189574	70210357	CENPH_microphthalmia	+
1	172799550	174824883	CENPL_microphthalmia	-
16	80006552	82033114	CENPN_microphthalmia	+
16	66828157	68847811	CENPT_microphthalmia	-
6	125340115	127348875	CENPW_microphthalmia	+
1	2812086	4857396	CEP104_microphthalmia	-
5	122344890	124423592	CEP120_microphthalmia	-
10	92496612	94529092	CEP55_microphthalmia	+
5	74356345	76512138	CERT1_microphthalmia	-
4	121728532	123732482	CETN4P_microphthalmia	-
11	64823022	66862026	CFL1_microphthalmia	-
21	35385392	37419015	CHAF1B_microphthalmia	+
1	5101787	7180321	CHD5_microphthalmia	-
17	79991598	82009517	CHMP6_microphthalmia	+
3	183380054	185390736	CHRD_microphthalmia	+
11	73696429	75731426	CHRDL2_microphthalmia	-
15	100175727	102252048	CHSY1_microphthalmia_coloboma	-
1	107881885	109963527	CLCC1_microphthalmia	-
7	72768997	74770270	CLDN3_microphthalmia	-
5	156785743	158859145	CLINT1_microphthalmia	-
11	56648188	58661865	CLP1_microphthalmia	+
11	71285495	73434680	CLPB_microphthalmia	-
16	2500976	4539048	CLUAP1_microphthalmia	+
3	128167827	130183922	CNBP_microphthalmia	-
16	57519951	59629885	CNOT1_microphthalmia	-
17	6932101	8949920	CNTROB_microphthalmia	+
1	233373456	235385080	COA6_microphthalmia	+
7	50016212	52316818	COBL_microphthalmia	-
16	69480568	71523560	COG4_microphthalmia	-
9	97943179	100070792	COL15A1_microphthalmia	+
21	45098112	47132848	COL6A2_microphthalmia	+
7	99088969	101092187	COPS6_microphthalmia	+
12	53301202	55351846	COPZ1_microphthalmia	+
16	29182827	31189076	CORO1A_microphthalmia	+
15	73919791	75938083	COX5A_microphthalmia	-
8	143393229	145409335	CPSF1_microphthalmia	-
2	8423651	10473101	CPSF3_microphthalmia	+
7	98438922	100457373	CPSF4_microphthalmia	+
7	15087525	17502504	CRPPA_microphthalmia	-
5	149053291	151113372	CSF1R_microphthalmia	-
3	38141855	40154562	CSRNP1_microphthalmia	-
11	32077188	34162371	CSTF3_microphthalmia	-
16	66562467	68639177	CTCF_microphthalmia	+
3	40194741	42260096	CTNNB1_microphthalmia	+
17	37800441	39825355	CWC25_microphthalmia	-
11	106326360	108457825	CWF19L2_microphthalmia	-
17	75527356	77551175	CYGB_microphthalmia	-
16	49742050	51801935	CYLD_microphthalmia	+
15	50208057	52338601	CYP19A1_microphthalmia	-
10	92073475	94077885	CYP26A1_microphthalmia	+
2	71129238	73147862	CYP26B1_microphthalmia	-
6	167292830	169319777	DACT2_microphthalmia	-
17	62550222	64594286	DCAF7_microphthalmia	+
13	93436811	95479682	DCT_microphthalmia	-
2	73361154	75392087	DCTN1_microphthalmia	-
12	56529633	58547224	DCTN2_microphthalmia	-
12	30073860	32104799	DDX11_microphthalmia	+
2	116814691	118832377	DDX18_microphthalmia	+
16	69346861	71373383	DDX19A_microphthalmia	+
20	48219347	50244077	DDX27_microphthalmia	+
X	40333348	42364472	DDX3X_microphthalmia	+
5	133758771	135855133	DDX46_microphthalmia	+
12	131136594	133144319	DDX51_microphthalmia	-
12	112157173	114185479	DDX54_microphthalmia	-
12	122602077	124620943	DDX55_microphthalmia	+
7	43565804	45575051	DDX56_microphthalmia	-
6	34297818	36321771	DEF6_microphthalmia	+
8	122013170	124042302	DERL1_microphthalmia	-
2	168064789	170096167	DHRS9_microphthalmia	+
17	4440917	6468982	DHX33_microphthalmia	-
14	94086228	96158010	DICER1_microphthalmia	-
14	79197526	81387757	DIO2_microphthalmia	-
14	100560139	102563452	DIO3_microphthalmia	+
1	230626790	233041272	DISC1_microphthalmia	+
1	221815022	224005995	DISP1_microphthalmia	+
X	153762742	155777689	DKC1_microphthalmia	+
10	51314281	53318042	DKK1_anophthalmia_microphthalmia	+
11	10956207	13009769	DKK3_microphthalmia	-
11	111025408	113064404	DLAT_microphthalmia	+
14	73881891	75903743	DLST_microphthalmia	+
1	43213455	45220681	DMAP1_microphthalmia	+
16	83145287	85178767	DNAAF1_microphthalmia	+
19	13514769	15560391	DNAJB1_microphthalmia	-
19	9718055	11833488	DNM2_microphthalmia	+
10	98875577	101009947	DNMBP_microphthalmia	-
20	31762385	33809359	DNMT3B_microphthalmia	+
16	29005514	31023270	DOC2A_microphthalmia	-
16	66987394	69000586	DPEP2_microphthalmia	-
20	49934867	51959140	DPM1_microphthalmia	-
1	10691710	12725857	DRAXIN_microphthalmia	+
11	116427772	118817525	DSCAML1_microphthalmia	-
6	14522807	16663058	DTNBP1_microphthalmia	-
8	32591330	34600023	DUSP26_microphthalmia	-
14	100964573	103056443	DYNC1H1_microphthalmia	+
11	102109410	104479863	DYNC2H1_microphthalmia	+
9	127633653	129656847	DYNC2I2_microphthalmia	-
2	42774039	44810010	DYNC2LI1_microphthalmia	+
3	195291219	197318299	DYNLT2B_microphthalmia	-
19	38825350	40834201	DYRK1B_microphthalmia	-
20	17383367	19467281	DZANK1_microphthalmia	-
13	94578202	96644706	DZIP1_microphthalmia_coloboma	-
1	42164175	44270936	EBNA1BP2_microphthalmia	-
5	137465479	139469303	EGR1_microphthalmia	+
6	30879759	32897698	EHMT2_microphthalmia	-
1	43850522	45986722	EIF2B3_microphthalmia	-
22	35510855	37529184	EIF3D_microphthalmia	-
8	107162787	109443496	EIF3E_microphthalmia	-
11	6970251	9001862	EIF3F_microphthalmia	+
19	9115014	11119918	EIF3G_microphthalmia	-
17	6572824	8579006	EIF4A1_microphthalmia	+
6	9980759	12044305	ELOVL2_microphthalmia	-
3	8962682	11011202	EMC3_microphthalmia	-
2	119013077	121179119	EPB41L5_microphthalmia	+
8	26490781	28545564	EPHX2_microphthalmia	+
20	12714322	14784919	ESF1_microphthalmia_coloboma	-
14	63084232	65338112	ESR2_microphthalmia	-
1	215503246	218137755	ESRRG_microphthalmia	-
5	137506095	139543236	ETF1_microphthalmia	-
14	56200507	58268905	EXOC5_microphthalmia	-
17	75081016	77121576	EXOC7_microphthalmia	-
9	129693721	131707288	EXOSC2_microphthalmia	+
9	36759234	38832117	EXOSC3_microphthalmia	-
8	143078648	145080648	EXOSC4_microphthalmia	+
19	40386371	42397362	EXOSC5_microphthalmia	-
13	35998816	38025881	EXOSC8_microphthalmia	+
4	120801318	122817021	EXOSC9_microphthalmia	+
1	99872372	101895179	EXTL2_microphthalmia	-
1	26970344	29088637	EYA3_anophthalmia_microphthalmia	-
7	147807257	149884321	EZH2_microphthalmia	-
8	80478419	82483236	FABP4_microphthalmia	-
5	73777574	75866966	FAM169A_microphthalmia	-
19	15185380	17192046	FAM32A_microphthalmia	+
19	38834458	40846379	FBL_microphthalmia	-
6	151970519	153983579	FBXO5_microphthalmia	-
11	60792911	62797238	FEN1_microphthalmia	+
5	107747841	110196841	FER_microphthalmia	+
8	122851987	125120061	FER1L6_microphthalmia	+
14	51857268	53952435	FERMT2_microphthalmia	-
4	9936	2026898	FGFRL1_microphthalmia	+
7	127830406	129859274	FLNC_microphthalmia	+
2	214360440	216436073	FN1_microphthalmia	-
8	143473412	145475849	FOXH1_microphthalmia	-
16	85576368	87583478	FOXL1_microphthalmia	+
6	107559835	109684774	FOXO3_microphthalmia	+
11	29231014	31235261	FSHB_microphthalmia	+
16	52701692	55158512	FTO_microphthalmia	+
15	89868588	91883564	FURIN_microphthalmia	+
14	64410592	66744121	FUT8_microphthalmia	+
10	34638247	36642296	FZD8_microphthalmia_coloboma	-
4	-150724	1932373	GAK_microphthalmia	-
16	80314944	82390809	GAN_microphthalmia	+
7	29580533	31634033	GARS1_microphthalmia	+
21	32503931	34543491	GART_microphthalmia	-
5	153887411	155938211	GEMIN5_microphthalmia	-
21	38377698	40428528	GET1_microphthalmia	+
3	9285666	11292947	GHRL_microphthalmia	-
2	231697299	233860605	GIGYF2_microphthalmia	+
16	84676198	86690073	GINS2_microphthalmia	-
16	57295080	59406147	GINS3_microphthalmia	+
9	127504655	129543874	GLE1_microphthalmia	+
12	56459785	58472268	GLI1_microphthalmia	+
16	3314761	5339597	GLIS2_microphthalmia	+
X	102702210	104728655	GLRA4_microphthalmia	-
1	192090866	194106114	GLRX2_microphthalmia	-
6	23774931	25786099	GMNN_microphthalmia	+
3	48716844	50723973	GMPPB_microphthalmia	-
9	35214441	37277042	GNE_microphthalmia	-
1	36566816	38595937	GNL2_microphthalmia	-
3	51681156	53694497	GNL3_microphthalmia	+
X	53530183	55621521	GNL3L_microphthalmia	+
3	120663199	122749966	GOLGB1_microphthalmia	-
1	154749659	156859400	GON4L_microphthalmia	-
1	25890488	27900467	GPATCH3_microphthalmia	-
X	132300103	134415489	GPC4_microphthalmia	-
4	156204182	158387146	GRIA2_microphthalmia	+
7	1474728	3476894	GRIFIN_microphthalmia	-
19	40998321	43070206	GRIK5_microphthalmia	-
3	13489107	15556075	GRIP2_microphthalmia	-
22	24564675	26729294	GRK3_microphthalmia	+
2	142938068	145332568	GTDC1_microphthalmia	-
13	26424619	28435823	GTF3A_microphthalmia	+
19	16334920	18342731	GTPBP3_microphthalmia	+
10	-11566	2019932	GTPBP4_microphthalmia	+
7	43826791	45848087	H2AZ2_anophthalmia	-
5	139673035	141691537	HARS1_microphthalmia	-
1	31292083	33333635	HDAC1_microphthalmia_coloboma	+
X	71329516	73573101	HDAC8_microphthalmia	-
1	235549005	237604516	HEATR1_microphthalmia	-
1	-1038	2000172	HES4_microphthalmia	-
19	45297042	47343433	HIF3A_microphthalmia	+
11	118121580	120136059	HINFP_microphthalmia	+
7	138561570	140777998	HIPK2_microphthalmia	-
13	29456704	31617597	HMGB1_microphthalmia	-
17	36686431	38745059	HNF1B_microphthalmia	-
17	47591257	49593779	HOXB5_microphthalmia	-
3	148129638	150173732	HPS3_microphthalmia	+
22	25443107	27483931	HPS4_microphthalmia	-
11	17278668	19322198	HPS5_microphthalmia	-
8	143291591	145314720	HSF1_microphthalmia	+
11	122057489	124063230	HSPA8_microphthalmia	-
5	137553756	139575675	HSPA9_microphthalmia	-
4	2041363	4243957	HTT_microphthalmia	+
9	91210207	93293854	IARS1_microphthalmia	-
5	4420664	6490220	ICE1_microphthalmia	+
2	7678845	9684461	ID2_microphthalmia	+
3	128429607	130520510	IFT122_microphthalmia	+
2	26444377	28489805	IFT172_microphthalmia	-
3	107160812	109222435	IFT57_microphthalmia	-
3	159256986	161399880	IFT80_microphthalmia	-
13	19567138	21691444	IFT88_microphthalmia	+
11	1129112	3158391	IGF2_microphthalmia	-
2	218054424	220060921	IHH_microphthalmia	-
21	32266367	34311420	IL10RB_microphthalmia	+
5	34852695	36879603	IL7R_microphthalmia	+
11	5603708	7610874	ILK_microphthalmia	+
1	36860697	38947057	INPP5B_microphthalmia	-
17	494577	2516742	INPP5K_microphthalmia	-
20	19368104	21370949	INSM1_microphthalmia	+
19	6112255	8294414	INSR_microphthalmia	-
5	2595832	4601403	IRX1_microphthalmia	+
5	877413	2887236	IRX4_microphthalmia	-
12	53395261	55419266	ITGA5_microphthalmia	-
22	37685543	39701556	JOSD1_microphthalmia	-
16	74627474	76648643	KARS1_microphthalmia	-
1	209676823	212134165	KCNH1_microphthalmia	-
19	47455574	49466980	KCNJ14_microphthalmia	+
12	108448655	110477359	KCTD10_microphthalmia	-
1	199551497	201620751	KIF14_microphthalmia_coloboma	-
5	131692628	133737638	KIF3A_microphthalmia	-
20	31277651	33335011	KIF3B_microphthalmia	+
9	106484852	108490482	KLF4_microphthalmia	-
10	2775996	4785281	KLF6_microphthalmia	-
X	55232356	57291531	KLF8_microphthalmia	+
2	168509702	170526258	KLHL41_microphthalmia	+
11	117436456	119526832	KMT2A_microphthalmia	+
19	9553085	11566031	KRI1_microphthalmia	-
18	5941742	8117797	LAMA1_microphthalmia_coloboma	-
6	127883138	130516566	LAMA2_microphthalmia	+
7	106923799	109003213	LAMB1_microphthalmia_coloboma	-
1	182023420	184145592	LAMC1_microphthalmia	+
5	145110566	147182696	LARS1_microphthalmia	-
7	127241278	129257629	LEP_microphthalmia	+
1	64420652	66641559	LEPR_microphthalmia	+
10	92757840	94806272	LGI1_microphthalmia	+
6	62275951	64319983	LGSN_microphthalmia	-
9	123001670	125033301	LHX2_microphthalmia	+
1	225231149	227309869	LIN9_microphthalmia	-
15	76613027	78820900	LINGO1_microphthalmia	-
17	17225635	19244875	LLGL1_microphthalmia	+
17	74525080	76575209	LLGL2_microphthalmia	+
2	95705929	97740064	LMAN2L_microphthalmia	-
11	32858576	34892076	LMO2_coloboma	-
1	86328880	88348923	LMO4_microphthalmia	+
5	121063195	123078413	LOX_microphthalmia	-
10	83220571	85225544	LRIT2_microphthalmia	-
1	99148448	101178273	LRRC39_microphthalmia	-
12	39196744	41369285	LRRK2_microphthalmia_coloboma	+
9	126451489	128503499	LRSAM1_microphthalmia	+
2	31946953	34399509	LTBP1_microphthalmia	+
6	142843338	144863812	LTV1_microphthalmia	+
1	8922113	10943407	LZIC_microphthalmia	-
10	99996618	102007836	LZTS2_microphthalmia	+
13	34473419	36478764	MAB21L1_microphthalmia	-
7	19134655	21217404	MACC1_microphthalmia	-
8	32485182	34501262	MAK16_microphthalmia	+
16	29114105	31123506	MAPK3_microphthalmia	-
10	91291167	93353964	MARCHF5_microphthalmia	+
6	112857345	114863475	MARCKS_microphthalmia	+
1	31333839	33336233	MARCKSL1_microphthalmia	-
12	56475445	58517569	MARS1_microphthalmia	+
2	84539168	86545281	MAT2A_microphthalmia	+
1	29711277	31723585	MATN1_microphthalmia	-
16	28806106	30811164	MAZ_microphthalmia	+
13	96221434	98394120	MBNL2_microphthalmia	+
5	112022106	114488823	MCC_microphthalmia	-
3	126598410	128622436	MCM2_microphthalmia	+
6	51264014	53284881	MCM3_microphthalmia	-
21	45235133	47286297	MCM3AP_microphthalmia	-
22	34400134	36425431	MCM5_microphthalmia	+
7	99092728	101101940	MCM7_microphthalmia	-
19	6522624	8534009	MCOLN1_microphthalmia	+
12	48556544	50568145	MCRS1_microphthalmia	-
15	93231538	95483952	MCTP2_microphthalmia	+
11	45380756	47383837	MDK_microphthalmia	+
12	67808177	69845544	MDM2_microphthalmia	+
6	88642498	90819794	MDN1_microphthalmia	-
X	70118543	72144103	MED12_microphthalmia	+
17	60942605	63065278	MED13_microphthalmia	-
11	56703710	58712221	MED19_microphthalmia	-
19	38391303	40400641	MED29_microphthalmia	+
2	65433452	67573869	MEIS1_microphthalmia	+
9	35572862	37677683	MELK_microphthalmia	+
15	40621134	42773081	MGA_microphthalmia	+
18	20704957	22870953	MIB1_microphthalmia	+
22	22894383	24895227	MIF_microphthalmia	+
7	6566875	8608932	MIOS_microphthalmia	+
10	26672874	28746060	MKX_microphthalmia	-
1	44500300	46513382	MMACHC_microphthalmia	+
14	21836560	23849041	MMP14_microphthalmia	+
16	54389700	56506691	MMP2_microphthalmia	+
6	165364919	167383013	MPC1_microphthalmia	-
1	166916675	168937072	MPC2_microphthalmia	-
2	70130310	72150101	MPHOSPH10_microphthalmia	+
15	73890005	75902219	MPI_microphthalmia	+
19	3343527	5360086	MPND_microphthalmia	+
2	26309492	28325680	MPV17_microphthalmia	-
12	119341330	121369164	MSI1_microphthalmia	-
17	56255851	58684689	MSI2_microphthalmia	+
4	3859665	5863936	MSX1_microphthalmia	+
11	46617315	48642607	MTCH2_microphthalmia	-
5	54307989	56425579	MTREX_microphthalmia	+
16	87651935	89663161	MVD_microphthalmia	-
16	28820394	30848039	MVP_microphthalmia	+
6	134181308	136219173	MYB_microphthalmia	+
17	3538897	5555386	MYBBP1A_microphthalmia	-
12	100568353	102686028	MYBPC1_microphthalmia	+
17	7474207	9631376	MYH10_microphthalmia	-
3	168773396	170789716	MYNN_microphthalmia	+
17	28071122	30180398	MYO18A_microphthalmia	-
12	108347900	110455523	MYO1H_microphthalmia	+
1	57643440	59700090	MYSM1_microphthalmia	-
12	55712305	57731628	NACA_microphthalmia	-
1	18596979	20658456	NBL1_microphthalmia	+
12	5493356	7531955	NCAPD2_microphthalmia	+
4	16810979	18844865	NCAPG_microphthalmia	+
2	95335766	97377091	NCAPH_microphthalmia	+
3	195935402	197942594	NCBP2_microphthalmia	-
2	230453531	232483641	NCL_microphthalmia	-
1	159343294	161358952	NCSTN_microphthalmia	+
16	57462846	59513628	NDRG4_microphthalmia	+
5	149485818	151558211	NDST1_microphthalmia	+
1	38026318	40034636	NDUFS5_microphthalmia	+
8	23950955	25956721	NEFL_microphthalmia	-
4	168369704	170612632	NEK1_microphthalmia	-
1	210658657	212675630	NEK2_microphthalmia	-
15	72051710	74305205	NEO1_microphthalmia	+
1	155668763	157677407	NES_microphthalmia	-
2	180668295	182680827	NEUROD1_microphthalmia	-
1	39691648	41771603	NFYC_microphthalmia	+
1	234975830	237065109	NID1_microphthalmia	-
2	120726945	122736911	NIFK_microphthalmia	-
14	49719763	51831162	NIN_microphthalmia	-
20	24451594	26585531	NINL_microphthalmia	-
5	35876769	38066413	NIPBL_microphthalmia	+
X	118920672	120943751	NKAP_microphthalmia	-
3	160104696	162253532	NMD3_microphthalmia	+
17	50165435	52171744	NME2_microphthalmia	+
5	137115175	139139443	NME5_microphthalmia	-
1	-55797	1959309	NOC2L_microphthalmia	-
10	93333226	95362959	NOC3L_microphthalmia	-
10	69431936	71447951	NODAL_microphthalmia	-
2	9562347	11689987	NOL10_microphthalmia	-
10	101152176	103163871	NOLC1_microphthalmia	+
7	155949712	157973176	NOM1_microphthalmia	+
15	33339159	35343180	NOP10_microphthalmia	-
4	1937933	3963406	NOP14_microphthalmia	-
20	1652593	3658393	NOP56_microphthalmia	+
2	201265736	203303661	NOP58_microphthalmia	+
18	22506184	24586506	NPC1_microphthalmia	-
11	46248300	48269033	NR1H3_microphthalmia	+
5	142277931	144435512	NR3C1_microphthalmia	-
7	128611720	130757082	NRF1_microphthalmia	+
17	45590669	47757679	NSF_microphthalmia	+
17	8021510	10244000	NTN1_microphthalmia_coloboma	+
12	67686951	69745809	NUP107_microphthalmia	+
7	134557917	136648757	NUP205_microphthalmia	+
17	4359668	6420164	NUP88_microphthalmia	-
16	55730118	57850286	NUP93_microphthalmia	+
1	227208044	229378876	OBSCN_microphthalmia	+
2	9439968	11448327	ODC1_microphthalmia	-
3	8749944	10788219	OGG1_microphthalmia	+
X	70533087	72575892	OGT_microphthalmia	+
15	40283958	42322392	OIP5-AS1_microphthalmia	+
9	134075422	136121180	OLFM1_microphthalmia	+
1	57415384	59546802	OMA1_microphthalmia	-
15	51755053	53791078	ONECUT1_microphthalmia	-
6	153010496	155246867	OPRM1_microphthalmia	+
1	51372829	53404423	ORC1_microphthalmia	-
2	146930396	149021604	ORC4_microphthalmia	-
16	45689643	47698394	ORC6_microphthalmia	+
1	35415827	37450451	OSCP1_microphthalmia	-
5	76628712	78638713	OTP_microphthalmia	-
2	62050057	64057836	OTX1_microphthalmia	+
3	47989889	50007153	P4HTM_microphthalmia	+
8	99685816	101722809	PABPC1_microphthalmia	-
6	33466061	35535229	PACSIN1_microphthalmia	+
19	38385629	40391154	PAF1_microphthalmia_coloboma	-
17	1593210	3685615	PAFAH1B1_microphthalmia	+
4	55435741	57464578	PAICS_microphthalmia	+
11	76322017	78474635	PAK1_microphthalmia	-
19	38125770	40182816	PAK4_microphthalmia	+
14	66240713	68336061	PALS1_microphthalmia	+
5	101753981	104029730	PAM_microphthalmia	+
20	2888839	4929887	PANK2_microphthalmia	+
10	33109560	35815325	PARD3_microphthalmia	-
19	18561707	20618693	PBX4_microphthalmia	-
2	28060976	30074523	PCARE_microphthalmia	-
13	56631744	58729311	PCDH17_microphthalmia	+
11	116204337	118232525	PCSK7_microphthalmia	-
6	169575295	171584692	PDCD2_microphthalmia	-
3	32798571	34869707	PDCD6IP_microphthalmia	+
2	237244044	239290102	PER2_microphthalmia	-
22	29576625	31607083	PES1_microphthalmia	-
2	195833004	197927796	PGAP1_microphthalmia	-
22	40459717	42468692	PHF5A_microphthalmia	-
11	71239077	73245664	PHOX2A_microphthalmia	-
22	19707691	21859417	PI4KA_microphthalmia	-
1	150291797	152327715	PI4KB_microphthalmia	-
1	19633458	21651511	PINK1_microphthalmia	+
10	21534854	23714578	PIP4K2A_microphthalmia	-
1	87684222	89836255	PKN2_microphthalmia	+
21	41974510	44033931	PKNOX1_microphthalmia	+
3	37007496	39029642	PLCD1_microphthalmia	-
20	40136960	42196801	PLCG1_microphthalmia	+
16	22677656	24690367	PLK1_microphthalmia	+
1	207022242	209244384	PLXNA2_microphthalmia	-
12	54954105	56973317	PMEL_microphthalmia	-
19	6534004	8561764	PNPLA6_microphthalmia	+
17	46941506	48949308	PNPO_microphthalmia	+
12	88419718	90526047	POC1B_microphthalmia	-
1	150402724	152459494	POGZ_microphthalmia	-
X	23693873	25996986	POLA1_microphthalmia	+
19	49384204	51418018	POLD1_microphthalmia	+
14	48643555	50688422	POLE2_microphthalmia	-
15	88305198	90334861	POLG_microphthalmia	-
2	85020216	87106155	POLR1A_microphthalmia	-
2	111541915	113579818	POLR1B_microphthalmia	+
7	18695461	20709037	POLR1F_microphthalmia	-
2	126843553	128858155	POLR2D_microphthalmia	-
11	61761565	63766710	POLR2G_microphthalmia	+
20	17466878	19484648	POLR3F_microphthalmia	+
4	74859864	76902571	PPEF2_microphthalmia	-
19	44488777	46502513	PPM1N_microphthalmia	+
6	29600413	31618612	PPP1R10_microphthalmia	-
12	55730438	57752374	PRIM1_microphthalmia	-
16	22835983	25220611	PRKCB_microphthalmia	+
3	169222424	171305977	PRKCI_microphthalmia	+
5	34048756	36230487	PRLR_microphthalmia	-
19	48675786	50689029	PRMT1_microphthalmia	+
12	2381349	4593973	PRMT8_microphthalmia	+
9	112275642	114294009	PRPF4_microphthalmia	+
X	106628428	108651993	PRPS1_microphthalmia	+
5	176446445	178456286	PRR7_microphthalmia	+
