#chrom	txStart	txEnd	name2	strand
4	1009936	1026898	FGFRL1_microphthalmia	+
7	128830406	128859274	FLNC_microphthalmia	+
2	215360440	215436073	FN1_microphthalmia	-
8	144473412	144475849	FOXH1_microphthalmia	-
16	86576368	86583478	FOXL1_microphthalmia	+
6	108559835	108684774	FOXO3_microphthalmia	+
11	30231014	30235261	FSHB_microphthalmia	+
16	53701692	54158512	FTO_microphthalmia	+
15	90868588	90883564	FURIN_microphthalmia	+
14	65410592	65744121	FUT8_microphthalmia	+
10	35638247	35642296	FZD8_microphthalmia_coloboma	-
4	849276	932373	GAK_microphthalmia	-
16	81314944	81390809	GAN_microphthalmia	+
7	30580533	30634033	GARS1_microphthalmia	+
21	33503931	33543491	GART_microphthalmia	-
5	154887411	154938211	GEMIN5_microphthalmia	-
21	39377698	39428528	GET1_microphthalmia	+
3	10285666	10292947	GHRL_microphthalmia	-
2	232697299	232860605	GIGYF2_microphthalmia	+
16	85676198	85690073	GINS2_microphthalmia	-
16	58295080	58406147	GINS3_microphthalmia	+
9	128504655	128543874	GLE1_microphthalmia	+
12	57459785	57472268	GLI1_microphthalmia	+
16	4314761	4339597	GLIS2_microphthalmia	+
X	103702210	103728655	GLRA4_microphthalmia	-
1	193090866	193106114	GLRX2_microphthalmia	-
6	24774931	24786099	GMNN_microphthalmia	+
3	49716844	49723973	GMPPB_microphthalmia	-
9	36214441	36277042	GNE_microphthalmia	-
1	37566816	37595937	GNL2_microphthalmia	-
3	52681156	52694497	GNL3_microphthalmia	+
X	54530183	54621521	GNL3L_microphthalmia	+
3	121663199	121749966	GOLGB1_microphthalmia	-
1	155749659	155859400	GON4L_microphthalmia	-
1	26890488	26900467	GPATCH3_microphthalmia	-
X	133300103	133415489	GPC4_microphthalmia	-
4	157204182	157387146	GRIA2_microphthalmia	+
7	2474728	2476894	GRIFIN_microphthalmia	-
19	41998321	42070206	GRIK5_microphthalmia	-
3	14489107	14556075	GRIP2_microphthalmia	-
22	25564675	25729294	GRK3_microphthalmia	+
2	143938068	144332568	GTDC1_microphthalmia	-
13	27424619	27435823	GTF3A_microphthalmia	+
19	17334920	17342731	GTPBP3_microphthalmia	+
10	988434	1019932	GTPBP4_microphthalmia	+
7	44826791	44848087	H2AZ2_anophthalmia	-
5	140673035	140691537	HARS1_microphthalmia	-
1	32292083	32333635	HDAC1_microphthalmia_coloboma	+
X	72329516	72573101	HDAC8_microphthalmia	-
1	236549005	236604516	HEATR1_microphthalmia	-
1	998962	1000172	HES4_microphthalmia	-
19	46297042	46343433	HIF3A_microphthalmia	+
11	119121580	119136059	HINFP_microphthalmia	+
7	139561570	139777998	HIPK2_microphthalmia	-
13	30456704	30617597	HMGB1_microphthalmia	-
17	37686431	37745059	HNF1B_microphthalmia	-
17	48591257	48593779	HOXB5_microphthalmia	-
3	149129638	149173732	HPS3_microphthalmia	+
22	26443107	26483931	HPS4_microphthalmia	-
11	18278668	18322198	HPS5_microphthalmia	-
8	144291591	144314720	HSF1_microphthalmia	+
11	123057489	123063230	HSPA8_microphthalmia	-
5	138553756	138575675	HSPA9_microphthalmia	-
4	3041363	3243957	HTT_microphthalmia	+
9	92210207	92293854	IARS1_microphthalmia	-
5	5420664	5490220	ICE1_microphthalmia	+
2	8678845	8684461	ID2_microphthalmia	+
3	129429607	129520510	IFT122_microphthalmia	+
2	27444377	27489805	IFT172_microphthalmia	-
3	108160812	108222435	IFT57_microphthalmia	-
3	160256986	160399880	IFT80_microphthalmia	-
13	20567138	20691444	IFT88_microphthalmia	+
11	2129112	2158391	IGF2_microphthalmia	-
2	219054424	219060921	IHH_microphthalmia	-
21	33266367	33311420	IL10RB_microphthalmia	+
5	35852695	35879603	IL7R_microphthalmia	+
11	6603708	6610874	ILK_microphthalmia	+
1	37860697	37947057	INPP5B_microphthalmia	-
17	1494577	1516742	INPP5K_microphthalmia	-
20	20368104	20370949	INSM1_microphthalmia	+
19	7112255	7294414	INSR_microphthalmia	-
5	3595832	3601403	IRX1_microphthalmia	+
5	1877413	1887236	IRX4_microphthalmia	-
12	54395261	54419266	ITGA5_microphthalmia	-
22	38685543	38701556	JOSD1_microphthalmia	-
16	75627474	75648643	KARS1_microphthalmia	-
1	210676823	211134165	KCNH1_microphthalmia	-
19	48455574	48466980	KCNJ14_microphthalmia	+
12	109448655	109477359	KCTD10_microphthalmia	-
1	200551497	200620751	KIF14_microphthalmia_coloboma	-
5	132692628	132737638	KIF3A_microphthalmia	-
20	32277651	32335011	KIF3B_microphthalmia	+
9	107484852	107490482	KLF4_microphthalmia	-
10	3775996	3785281	KLF6_microphthalmia	-
X	56232356	56291531	KLF8_microphthalmia	+
2	169509702	169526258	KLHL41_microphthalmia	+
11	118436456	118526832	KMT2A_microphthalmia	+
19	10553085	10566031	KRI1_microphthalmia	-
18	6941742	7117797	LAMA1_microphthalmia_coloboma	-
6	128883138	129516566	LAMA2_microphthalmia	+
7	107923799	108003213	LAMB1_microphthalmia_coloboma	-
1	183023420	183145592	LAMC1_microphthalmia	+
5	146110566	146182696	LARS1_microphthalmia	-
7	128241278	128257629	LEP_microphthalmia	+
1	65420652	65641559	LEPR_microphthalmia	+
10	93757840	93806272	LGI1_microphthalmia	+
6	63275951	63319983	LGSN_microphthalmia	-
9	124001670	124033301	LHX2_microphthalmia	+
1	226231149	226309869	LIN9_microphthalmia	-
15	77613027	77820900	LINGO1_microphthalmia	-
17	18225635	18244875	LLGL1_microphthalmia	+
17	75525080	75575209	LLGL2_microphthalmia	+
2	96705929	96740064	LMAN2L_microphthalmia	-
11	33858576	33892076	LMO2_coloboma	-
1	87328880	87348923	LMO4_microphthalmia	+
5	122063195	122078413	LOX_microphthalmia	-
10	84220571	84225544	LRIT2_microphthalmia	-
1	100148448	100178273	LRRC39_microphthalmia	-
12	40196744	40369285	LRRK2_microphthalmia_coloboma	+
9	127451489	127503499	LRSAM1_microphthalmia	+
2	32946953	33399509	LTBP1_microphthalmia	+
6	143843338	143863812	LTV1_microphthalmia	+
1	9922113	9943407	LZIC_microphthalmia	-
10	100996618	101007836	LZTS2_microphthalmia	+
13	35473419	35478764	MAB21L1_microphthalmia	-
7	20134655	20217404	MACC1_microphthalmia	-
8	33485182	33501262	MAK16_microphthalmia	+
16	30114105	30123506	MAPK3_microphthalmia	-
10	92291167	92353964	MARCHF5_microphthalmia	+
6	113857345	113863475	MARCKS_microphthalmia	+
1	32333839	32336233	MARCKSL1_microphthalmia	-
12	57475445	57517569	MARS1_microphthalmia	+
2	85539168	85545281	MAT2A_microphthalmia	+
1	30711277	30723585	MATN1_microphthalmia	-
16	29806106	29811164	MAZ_microphthalmia	+
13	97221434	97394120	MBNL2_microphthalmia	+
5	113022106	113488823	MCC_microphthalmia	-
3	127598410	127622436	MCM2_microphthalmia	+
6	52264014	52284881	MCM3_microphthalmia	-
21	46235133	46286297	MCM3AP_microphthalmia	-
22	35400134	35425431	MCM5_microphthalmia	+
7	100092728	100101940	MCM7_microphthalmia	-
19	7522624	7534009	MCOLN1_microphthalmia	+
12	49556544	49568145	MCRS1_microphthalmia	-
15	94231538	94483952	MCTP2_microphthalmia	+
11	46380756	46383837	MDK_microphthalmia	+
12	68808177	68845544	MDM2_microphthalmia	+
6	89642498	89819794	MDN1_microphthalmia	-
X	71118543	71144103	MED12_microphthalmia	+
17	61942605	62065278	MED13_microphthalmia	-
11	57703710	57712221	MED19_microphthalmia	-
19	39391303	39400641	MED29_microphthalmia	+
2	66433452	66573869	MEIS1_microphthalmia	+
9	36572862	36677683	MELK_microphthalmia	+
15	41621134	41773081	MGA_microphthalmia	+
18	21704957	21870953	MIB1_microphthalmia	+
22	23894383	23895227	MIF_microphthalmia	+
7	7566875	7608932	MIOS_microphthalmia	+
10	27672874	27746060	MKX_microphthalmia	-
1	45500300	45513382	MMACHC_microphthalmia	+
14	22836560	22849041	MMP14_microphthalmia	+
16	55389700	55506691	MMP2_microphthalmia	+
6	166364919	166383013	MPC1_microphthalmia	-
1	167916675	167937072	MPC2_microphthalmia	-
2	71130310	71150101	MPHOSPH10_microphthalmia	+
15	74890005	74902219	MPI_microphthalmia	+
19	4343527	4360086	MPND_microphthalmia	+
2	27309492	27325680	MPV17_microphthalmia	-
12	120341330	120369164	MSI1_microphthalmia	-
17	57255851	57684689	MSI2_microphthalmia	+
4	4859665	4863936	MSX1_microphthalmia	+
11	47617315	47642607	MTCH2_microphthalmia	-
5	55307989	55425579	MTREX_microphthalmia	+
16	88651935	88663161	MVD_microphthalmia	-
16	29820394	29848039	MVP_microphthalmia	+
6	135181308	135219173	MYB_microphthalmia	+
17	4538897	4555386	MYBBP1A_microphthalmia	-
12	101568353	101686028	MYBPC1_microphthalmia	+
17	8474207	8631376	MYH10_microphthalmia	-
3	169773396	169789716	MYNN_microphthalmia	+
17	29071122	29180398	MYO18A_microphthalmia	-
12	109347900	109455523	MYO1H_microphthalmia	+
1	58643440	58700090	MYSM1_microphthalmia	-
12	56712305	56731628	NACA_microphthalmia	-
1	19596979	19658456	NBL1_microphthalmia	+
12	6493356	6531955	NCAPD2_microphthalmia	+
4	17810979	17844865	NCAPG_microphthalmia	+
2	96335766	96377091	NCAPH_microphthalmia	+
3	196935402	196942594	NCBP2_microphthalmia	-
2	231453531	231483641	NCL_microphthalmia	-
1	160343294	160358952	NCSTN_microphthalmia	+
16	58462846	58513628	NDRG4_microphthalmia	+
5	150485818	150558211	NDST1_microphthalmia	+
1	39026318	39034636	NDUFS5_microphthalmia	+
8	24950955	24956721	NEFL_microphthalmia	-
4	169369704	169612632	NEK1_microphthalmia	-
1	211658657	211675630	NEK2_microphthalmia	-
15	73051710	73305205	NEO1_microphthalmia	+
1	156668763	156677407	NES_microphthalmia	-
2	181668295	181680827	NEUROD1_microphthalmia	-
1	40691648	40771603	NFYC_microphthalmia	+
1	235975830	236065109	NID1_microphthalmia	-
2	121726945	121736911	NIFK_microphthalmia	-
14	50719763	50831162	NIN_microphthalmia	-
20	25451594	25585531	NINL_microphthalmia	-
5	36876769	37066413	NIPBL_microphthalmia	+
X	119920672	119943751	NKAP_microphthalmia	-
3	161104696	161253532	NMD3_microphthalmia	+
17	51165435	51171744	NME2_microphthalmia	+
5	138115175	138139443	NME5_microphthalmia	-
1	944203	959309	NOC2L_microphthalmia	-
10	94333226	94362959	NOC3L_microphthalmia	-
10	70431936	70447951	NODAL_microphthalmia	-
2	10562347	10689987	NOL10_microphthalmia	-
10	102152176	102163871	NOLC1_microphthalmia	+
7	156949712	156973176	NOM1_microphthalmia	+
15	34339159	34343180	NOP10_microphthalmia	-
4	2937933	2963406	NOP14_microphthalmia	-
20	2652593	2658393	NOP56_microphthalmia	+
2	202265736	202303661	NOP58_microphthalmia	+
18	23506184	23586506	NPC1_microphthalmia	-
11	47248300	47269033	NR1H3_microphthalmia	+
5	143277931	143435512	NR3C1_microphthalmia	-
7	129611720	129757082	NRF1_microphthalmia	+
17	46590669	46757679	NSF_microphthalmia	+
17	9021510	9244000	NTN1_microphthalmia_coloboma	+
12	68686951	68745809	NUP107_microphthalmia	+
7	135557917	135648757	NUP205_microphthalmia	+
17	5359668	5420164	NUP88_microphthalmia	-
16	56730118	56850286	NUP93_microphthalmia	+
1	228208044	228378876	OBSCN_microphthalmia	+
2	10439968	10448327	ODC1_microphthalmia	-
3	9749944	9788219	OGG1_microphthalmia	+
X	71533087	71575892	OGT_microphthalmia	+
15	41283958	41322392	OIP5-AS1_microphthalmia	+
9	135075422	135121180	OLFM1_microphthalmia	+
1	58415384	58546802	OMA1_microphthalmia	-
15	52755053	52791078	ONECUT1_microphthalmia	-
6	154010496	154246867	OPRM1_microphthalmia	+
1	52372829	52404423	ORC1_microphthalmia	-
2	147930396	148021604	ORC4_microphthalmia	-
16	46689643	46698394	ORC6_microphthalmia	+
1	36415827	36450451	OSCP1_microphthalmia	-
5	77628712	77638713	OTP_microphthalmia	-
2	63050057	63057836	OTX1_microphthalmia	+
3	48989889	49007153	P4HTM_microphthalmia	+
8	100685816	100722809	PABPC1_microphthalmia	-
6	34466061	34535229	PACSIN1_microphthalmia	+
19	39385629	39391154	PAF1_microphthalmia_coloboma	-
17	2593210	2685615	PAFAH1B1_microphthalmia	+
4	56435741	56464578	PAICS_microphthalmia	+
11	77322017	77474635	PAK1_microphthalmia	-
19	39125770	39182816	PAK4_microphthalmia	+
14	67240713	67336061	PALS1_microphthalmia	+
5	102753981	103029730	PAM_microphthalmia	+
20	3888839	3929887	PANK2_microphthalmia	+
10	34109560	34815325	PARD3_microphthalmia	-
19	19561707	19618693	PBX4_microphthalmia	-
2	29060976	29074523	PCARE_microphthalmia	-
13	57631744	57729311	PCDH17_microphthalmia	+
11	117204337	117232525	PCSK7_microphthalmia	-
6	170575295	170584692	PDCD2_microphthalmia	-
3	33798571	33869707	PDCD6IP_microphthalmia	+
2	238244044	238290102	PER2_microphthalmia	-
22	30576625	30607083	PES1_microphthalmia	-
2	196833004	196927796	PGAP1_microphthalmia	-
22	41459717	41468692	PHF5A_microphthalmia	-
11	72239077	72245664	PHOX2A_microphthalmia	-
22	20707691	20859417	PI4KA_microphthalmia	-
1	151291797	151327715	PI4KB_microphthalmia	-
1	20633458	20651511	PINK1_microphthalmia	+
10	22534854	22714578	PIP4K2A_microphthalmia	-
1	88684222	88836255	PKN2_microphthalmia	+
21	42974510	43033931	PKNOX1_microphthalmia	+
3	38007496	38029642	PLCD1_microphthalmia	-
20	41136960	41196801	PLCG1_microphthalmia	+
16	23677656	23690367	PLK1_microphthalmia	+
1	208022242	208244384	PLXNA2_microphthalmia	-
12	55954105	55973317	PMEL_microphthalmia	-
19	7534004	7561764	PNPLA6_microphthalmia	+
17	47941506	47949308	PNPO_microphthalmia	+
12	89419718	89526047	POC1B_microphthalmia	-
1	151402724	151459494	POGZ_microphthalmia	-
X	24693873	24996986	POLA1_microphthalmia	+
19	50384204	50418018	POLD1_microphthalmia	+
14	49643555	49688422	POLE2_microphthalmia	-
15	89305198	89334861	POLG_microphthalmia	-
2	86020216	86106155	POLR1A_microphthalmia	-
2	112541915	112579818	POLR1B_microphthalmia	+
7	19695461	19709037	POLR1F_microphthalmia	-
2	127843553	127858155	POLR2D_microphthalmia	-
11	62761565	62766710	POLR2G_microphthalmia	+
20	18466878	18484648	POLR3F_microphthalmia	+
4	75859864	75902571	PPEF2_microphthalmia	-
19	45488777	45502513	PPM1N_microphthalmia	+
6	30600413	30618612	PPP1R10_microphthalmia	-
12	56730438	56752374	PRIM1_microphthalmia	-
16	23835983	24220611	PRKCB_microphthalmia	+
3	170222424	170305977	PRKCI_microphthalmia	+
5	35048756	35230487	PRLR_microphthalmia	-
19	49675786	49689029	PRMT1_microphthalmia	+
12	3381349	3593973	PRMT8_microphthalmia	+
9	113275642	113294009	PRPF4_microphthalmia	+
X	107628428	107651993	PRPS1_microphthalmia	+
5	177446445	177456286	PRR7_microphthalmia	+
5	139795808	139844466	PSD2_microphthalmia	+
