Gene name,Gene name2,Gene Synonym 0,Gene Synonym 1,Gene Synonym 2,Gene Synonym 3,Gene Synonym 4,Gene Synonym 5,Gene Synonym 6,Gene Synonym 7,Gene Synonym 8,Gene Synonym 9,Gene Synonym 10,Gene Synonym 11,Gene Synonym 12,Gene Synonym 13,Gene Synonym 14,Gene Synonym 15,Gene Synonym 16,Gene Synonym 17,Gene Synonym 18,Gene Synonym 19,Gene Synonym 20,Gene Synonym 21,Gene Synonym 22,Gene Synonym 23,Gene Synonym 24,Gene Synonym 25,Gene Synonym 26,Gene Synonym 27,Gene Synonym 28,Gene Synonym 29,Gene Synonym 30,Gene Synonym 31
ABI3,,SSH3BP3,NESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABI3BP,,TARSH,NESHBP,DKFZP586L2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABITRAM,,Simiate,FLJ20457,FAM206A,CG-8,C9orf6,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABITRAMP1,,FAM206BP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1,,p150,JTK7,c-ABL,ABL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL2,,ARG,ABLL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABLIM1,,limatin,LIMAB1,ABLIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABLIM2,,KIAA1808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABLIM3,,KIAA0843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABO,,A3GALT1,A3GALNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABR,,MDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABRA,,STARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABRACL,,PRO2013,HSPC280,Costars,C6orf115,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABR-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABRAXAS1,,FLJ13614,FAM175A,CCDC98,ABRAXAS,ABRA1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABRAXAS2,,KIAA0157,FAM175B,Em:AC068896.4,ABRO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABT1,,Esf2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABT1P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABTB1,,EF1ABP,BTBD21,Btb3,BPOZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABTB2,,DKFZP586C1619,BTBD22,ABTB2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABTB3,,FLJ33957,BTBD11,ABTB2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAA1,,Lnc-Myd88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAA2,,DSAEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAA2P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACACA,,hACC1,ACCalpha,ACCA,ACC1,ACC-alpha,ACC,ACACalpha,Acac1,ACAC,,,,,,,,,,,,,,,,,,,,,,,
ACACB,,HACC275,ACCbeta,ACCB,ACC2,ACC-beta,ACACbeta,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAD10,,MGC5601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAD11,,FLJ12592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAD8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAD9,,NPD002,MGC14452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAD9-DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACADL,,LCAD,ACAD4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACADM,,MCADH,MCAD,ACAD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACADS,,SCAD,ACAD3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACADSB,,SBCAD,ACAD7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACADVL,,VLCAD,LCACD,ACAD6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAN,,MSK16,CSPGCP,CSPG1,AGC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAP1,,KIAA0050,CENTB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAP2,,KIAA0041,CNT-B2,CENTB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAP2-IT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAP3,,KIAA1716,CENTB5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAT1,,THIL,ACAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBD3,,PAP7,GOLPH1,GOCAP1,GCP60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBD3-AS1,,RP11-275I14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBD4,,FLJ13322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBD5,,KIAA1996,DKFZp434A2417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBD6,,MGC2404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBD7,,FLJ38219,bA455B2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCS,,PHACS,ACS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCSL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACD,,Tpp1,Tint1,Ptop,Pip1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE,,DCP1,CD143,ACE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE2,,ACEH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE3P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACER1,,ASAH3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACER2,,FLJ41587,ASAH3L,ALKCDase2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACER2P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACER3,,PHCA,FLJ11238,APHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHE,,YT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACIN1,,KIAA0670,fSAP152,ACINUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACKR1,,GPD,FY,Dfy,DARC,CD234,CCBP1,,,,,,,,,,,,,,,,,,,,,,,,,,
ACKR2,,D6,CMKBR9,CCR9,CCR10,CCBP2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACKR3,,RDC1,GPR159,CXCR7,CMKOR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACKR4,,VSHK1,PPR1,CCX-CKR,CCRL1,CCR11,CCBP2,,,,,,,,,,,,,,,,,,,,,,,,,,
ACKR4P1,,dJ509I19.4,CCRL1P1,CCRL1P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLY,,CLATP,ATPCL,ACL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNATP,,BAATP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACO1,,IRP1,IREBP,IREB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACO2,,ACONM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOD1,,IRG1,CAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOT1,,LACH2,CTE-1,ACH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOT11,,THEM1,THEA,STARD14,KIAA0707,BFIT1,BFIT,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOT12,,THEAL,STARD15,Cach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOT13,,THEM2,HT012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOT2,,ZAP128,Mte1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOT4,,PTE2B,PTE-Ib,FLJ31235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOT6,,C14orf42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOT7,,MGC1126,LACH1,hBACH,CTE-II,BACH,ACT,ACH1,,,,,,,,,,,,,,,,,,,,,,,,,
ACOT8,,PTE1,PTE-2,NAP1,hTE,hACTE-III,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOT9,,MT-ACT48,CGI-16,ACATE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOX1,,PALMCOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOX2,,THCCox,BRCOX,BRCACOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOX3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOXL,,FLJ11042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOXL-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACP1,,LMWPTP,LMW-PTP,HAAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACP2,,LAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACP3,,TM-PAP,PAP,ACPP,ACP-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACP4,,ACPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACP5,,TRAP,TRAcP,HPAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACP6,,LPAP,ACPL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACP7,,PAPL1,PAPL,FLJ16165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRBP,,SP32,OY-TES-1,CT23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRV1,,SPACA2,SP-10,D11S4365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSBG1,,MGC14352,KIAA0631,hsBG,hBG1,FLJ30320,BGM,BG1,,,,,,,,,,,,,,,,,,,,,,,,,
ACSBG2,,PRTD-NY3,DKFZp434K1635,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSF2,,FLJ20920,ACSMW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSF3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSL1,,LACS2,LACS1,LACS,FACL2,FACL1,ACS1,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSL3,,PRO2194,FACL3,ACS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSL3-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSL4,,MRX68,MRX63,LACS4,FACL4,ACS4,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSL5,,FACL5,ACS5,ACS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSL6,,LACS5,LACS2,KIAA0837,FACL6,ACS2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSL6-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSM1,,MACS1,BUCS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSM2A,,MGC150530,ACSM2,A-923A4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSM2B,,HYST1046,HXMA,ACSM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSM3,,SAH,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSM5,,FLJ20581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSM5P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSM6,,C10orf129,bA310E22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSS1,,MGC33843,dJ568C11.3,AceCS2L,ACAS2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSS2,,dJ1161H23.1,ACSA,ACS,AceCS,ACAS2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSS3,,FLJ21963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTA1,,NEM3,ACTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
