Gene Synonym,Gene name
C21orf73,ABCC13
PRED6,ABCC13
CSTT,CST13P
CTES6,CST13P
ARHGEF29,SPATA13
ARHGEF29,SPATA13
ASEF2,SPATA13
ASEF2,SPATA13
CYorf15A,TXLNGY
CYorf15B,TXLNGY
TXLNG2P,TXLNGY
NANCI,SFTA3
PAHRF,SFTA3
SFTPH,SFTA3
SP-H,SFTA3
SPH,SFTA3
SUGT1L1,SUGT1P3
Tbeta15b,TMSB15B
Tbeta15b,TMSB15B
TMSB15A,TMSB15B
TMSB15A,TMSB15B
TMSL8,TMSB15B
TMSL8,TMSB15B
TMSNB,TMSB15B
TMSNB,TMSB15B
BCORL2,BCORP1
XKRYP7,XKRY2
C21orf81,ANKRD20A11P
AVPC1948,FLJ42393
HCCAT4,LINC01451
CTGLF12P,AGAP12P
PTPN20CP,AGAP12P
NF1HHS,NF1P2
LNMAT1,DUXAP10
BD-5,DEFB105B
BD-5,DEFB105B
BD-5,DEFB105B
DEFB-5,DEFB105B
DEFB-5,DEFB105B
DEFB-5,DEFB105B
C8orf24,NCRNA00250
GOLGA6L18,GOLGA6L10
GOLGA6L18,GOLGA6L10
PRAMEF24P,PRAMENP
PRAMEL,PRAMENP
SORD2,SORD2P
ROCK1P,ROCK1P1
SDR25C4,DHRS4L1
SDR25C4,DHRS4L1
BMS1LP4,BMS1P4
NCRNA00197,PTCSC1
PTCSC,PTCSC1
AA02,AA06
AA04,AA06
AA05,AA06
ARMCX5-GPRASP2-BHLHB9-LINC00630,ARMCX5-GPRASP2
ARMCX5-GPRASP2-BHLHB9-LINC00630,GPRASP2
bHLHb9,ARMCX5-GPRASP2
bHLHb9,GPRASP2
p60TRP,ARMCX5-GPRASP2
p60TRP,GPRASP2
RAET1G-AS1,RAET1E-AS1
RAET1G-AS1,RAET1E-AS1
MRPS31P3,MRPS31P5
MIR384HG,MIR325HG
TCONS_00012692,MICB-DT
HIPSTR,TFAP2A-AS2
ACF,A1CF
ACF64,A1CF
ACF65,A1CF
APOBEC1CF,A1CF
ASP,A1CF
CPAMD9,A2ML1
FLJ25179,A2ML1
p170,A2ML1
A14GALT,A4GALT
Gb3S,A4GALT
P(k),A4GALT
P1,A4GALT
CES5A1,AADAC
DAC,AADAC
MGC72001,AADACL2
MGC72001,AADACL2
KAT2,AADAT
KATII,AADAT
KYAT2,AADAT
SNAT,AANAT
bA234K24.2,AAR2
C20orf4,AAR2
C8orf85,AARD
LOC441376,AARD
AARS,AARS1
AlaRS,AARS1
CMT2N,AARS1
AARSP1,AARS1P1
AARSL,AARS2
bA444E17.1,AARS2
KIAA1270,AARS2
AlaXp,AARSD1
MGC2744,AARSD1
BFR2,AATF
CHE-1,AATF
CHE1,AATF
DED,AATF
INXS,ABALON
ABC1,ABCA1
HDLDT1,ABCA1
TGD,ABCA1
ABC-C,ABCA3
ABC3,ABCA3
EST111653,ABCA3
LBM180,ABCA3
EST90625,ABCA5
ABCX,ABCA7
ABCA11,ABCA11P
EST1133530,ABCA11P
FLJ14297,ABCA11P
DKFZP434G232,ABCA12
ICR2B,ABCA12
LI2,ABCA12
FLJ33876,ABCA13
FLJ33951,ABCA13
ABC7,ABCB7
ASAT,ABCB7
Atm1p,ABCB7
EST140535,ABCB7
ABCB10P,ABCB10P1
ABCB10P,ABCB10P1
ABCB10P,ABCB10P1
ABCB10P2,ABCB10P1
ABCB10P2,ABCB10P1
ABCB10P2,ABCB10P1
M-ABC2,ABCB10P1
M-ABC2,ABCB10P1
M-ABC2,ABCB10P1
MABC2,ABCB10P1
MABC2,ABCB10P1
MABC2,ABCB10P1
ABC16,ABCB11
BSEP,ABCB11
PFIC-2,ABCB11
PFIC2,ABCB11
PGY4,ABCB11
SPGP,ABCB11
GS-X,ABCC1
MRP,ABCC1
MRP1,ABCC1
CMOAT,ABCC2
cMRP,ABCC2
DJS,ABCC2
MRP2,ABCC2
cMOAT2,ABCC3
EST90757,ABCC3
MLP2,ABCC3
MOAT-D,ABCC3
MRP3,ABCC3
EST170205,ABCC4
MOAT-B,ABCC4
MOATB,ABCC4
MRP4,ABCC4
ARA,ABCC6
EST349056,ABCC6
MLP1,ABCC6
MRP6,ABCC6
PXE,ABCC6
URG7,ABCC6
EST182763,ABCC10
MRP7,ABCC10
SIMRP7,ABCC10
ABCC13P,ABCC13
C21orf73,ABCC13
PRED6,ABCC13
adrenoleukodystrophy,ABCD1
ALD,ABCD1
ALDP,ABCD1
AMN,ABCD1
bA453N3.6,ABCD1P2
bA453N3.6,ABCD1P2
ALDL1,ABCD2
ALDR,ABCD2
ALDRP,ABCD2
PMP70,ABCD3
PXMP1,ABCD3
ZWS2,ABCD3
ABC50,ABCF1
ABC50,ABCF1
ABC50,ABCF1
ABC50,ABCF1
ABC50,ABCF1
ABC50,ABCF1
ABC50,ABCF1
EST123147,ABCF1
EST123147,ABCF1
EST123147,ABCF1
EST123147,ABCF1
EST123147,ABCF1
EST123147,ABCF1
EST123147,ABCF1
ABC8,ABCG1
LABH2,ABHD2
LABH3,ABHD3
CGI-58,ABHD5
NCIE2,ABHD5
FLJ11743,ABHD8
MGC14280,ABHD8
MGC2512,ABHD8
FLJ11342,ABHD10
ABHD12A,ABHD12
BEM46L2,ABHD12
C20orf22,ABHD12
dJ965G21.2,ABHD12
DKFZP434P106,ABHD12
BEM46L3,ABHD12B
C14orf29,ABHD12B
bA153I24.2,ABHD13
BEM46L1,ABHD13
C13orf6,ABHD13
FLJ14906,ABHD13
BAT5,ABHD16A
BAT5,ABHD16A
BAT5,ABHD16A
BAT5,ABHD16A
BAT5,ABHD16A
BAT5,ABHD16A
BAT5,ABHD16A
D6S82E,ABHD16A
D6S82E,ABHD16A
D6S82E,ABHD16A
D6S82E,ABHD16A
D6S82E,ABHD16A
D6S82E,ABHD16A
D6S82E,ABHD16A
NG26,ABHD16A
NG26,ABHD16A
NG26,ABHD16A
NG26,ABHD16A
NG26,ABHD16A
NG26,ABHD16A
NG26,ABHD16A
C20orf135,ABHD16B
dJ591C20.1,ABHD16B
C19orf27,ABHD17A
FAM108A1,ABHD17A
MGC5244,ABHD17A
FAM108A5,ABHD17AP4
FAM108A5P,ABHD17AP4
FAM108A6,ABHD17AP5
FAM108A6P,ABHD17AP5
FAM108A7P,ABHD17AP6
C9orf77,ABHD17B
CGI-67,ABHD17B
FAM108B1,ABHD17B
FAM108C1,ABHD17C
ABI-1,ABI1
E3B1,ABI1
SSH3BP1,ABI1
ABI1P,ABI1P1
SSH3BP1P,ABI1P1
NESH,ABI3
SSH3BP3,ABI3
DKFZP586L2024,ABI3BP
NESHBP,ABI3BP
TARSH,ABI3BP
C9orf6,ABITRAM
CG-8,ABITRAM
FAM206A,ABITRAM
FLJ20457,ABITRAM
Simiate,ABITRAM
FAM206BP,ABITRAMP1
KIAA0843,ABLIM3
A3GALNT,ABO
A3GALNT,ABO
A3GALT1,ABO
A3GALT1,ABO
MDB,ABR
MDB,ABR
STARS,ABRA
C6orf115,ABRACL
Costars,ABRACL
HSPC280,ABRACL
PRO2013,ABRACL
ABRO1,ABRAXAS2
Em:AC068896.4,ABRAXAS2
FAM175B,ABRAXAS2
KIAA0157,ABRAXAS2
Esf2,ABT1
ABTB2A,ABTB2
BTBD22,ABTB2
DKFZP586C1619,ABTB2
ABTB2B,ABTB3
BTBD11,ABTB3
FLJ33957,ABTB3
Lnc-Myd88,ACAA1
DSAEC,ACAA2
ACAC,ACACA
ACAC,ACACA
Acac1,ACACA
Acac1,ACACA
ACACalpha,ACACA
ACACalpha,ACACA
ACC,ACACA
ACC,ACACA
ACC-alpha,ACACA
ACC-alpha,ACACA
ACC1,ACACA
ACC1,ACACA
ACCA,ACACA
ACCA,ACACA
ACCalpha,ACACA
ACCalpha,ACACA
hACC1,ACACA
hACC1,ACACA
ACAD4,ACADL
LCAD,ACADL
ACAD7,ACADSB
SBCAD,ACADSB
CENTB1,ACAP1
CENTB1,ACAP1
KIAA0050,ACAP1
KIAA0050,ACAP1
ACAT,ACAT1
THIL,ACAT1
FLJ13322,ACBD4
DKFZp434A2417,ACBD5
KIAA1996,ACBD5
bA455B2.2,ACBD7
FLJ38219,ACBD7
ACE1,ACE
CD143,ACE
DCP1,ACE
ACEH,ACE2
ACINUS,ACIN1
fSAP152,ACIN1
KIAA0670,ACIN1
CMKOR1,ACKR3
CXCR7,ACKR3
GPR159,ACKR3
RDC1,ACKR3
CCRL1P,ACKR4P1
CCRL1P1,ACKR4P1
dJ509I19.4,ACKR4P1
BAATP1,ACNATP
IREB1,ACO1
IREBP,ACO1
IRP1,ACO1
ACONM,ACO2
CAD,ACOD1
IRG1,ACOD1
hACTE-III,ACOT8
hTE,ACOT8
NAP1,ACOT8
PTE-2,ACOT8
PTE1,ACOT8
ACATE2,ACOT9
CGI-16,ACOT9
MT-ACT48,ACOT9
HT012,ACOT13
THEM2,ACOT13
BRCACOX,ACOX2
BRCOX,ACOX2
THCCox,ACOX2
ACPT,ACP4
FLJ16165,ACP7
PAPL,ACP7
PAPL1,ACP7
D11S4365,ACRV1
SP-10,ACRV1
SPACA2,ACRV1
ACS4,ACSL4
FACL4,ACSL4
LACS4,ACSL4
MRX63,ACSL4
MRX68,ACSL4
ACS2,ACSL5
ACS5,ACSL5
FACL5,ACSL5
ACS2,ACSL6
FACL6,ACSL6
KIAA0837,ACSL6
LACS2,ACSL6
LACS5,ACSL6
ACAS2L,ACSS1
AceCS2L,ACSS1
dJ568C11.3,ACSS1
MGC33843,ACSS1
ACAS2,ACSS2
AceCS,ACSS2
ACS,ACSS2
ACSA,ACSS2
dJ1161H23.1,ACSS2
FLJ21963,ACSS3
DKFZp686D0972,ACTBL2
ACTBP2,ACTBP8
ACTC,ACTC1
CMD1R,ACTC1
ACTGP2,ACTG1P2
ACTL2,ACTG1P2
ACTGP3,ACTG1P3
ACTGP9,ACTG1P9
ACTGP10,ACTG1P10
ACTL1,ACTG1P10
POTENP,ACTG1P24
Actl6,ACTL6A
Arp4,ACTL6A
BAF53A,ACTL6A
INO80K,ACTL6A
SMARCN1,ACTL6A
Tact1,ACTL7B
CT57,ACTL8
MGC33407,ACTL9
C20orf134,ACTL10
ACTN1-AS1,ACTN1-DT
C14orf84,ACTN1-DT
FSGS1,ACTN4
ARP1,ACTR1A
Arp1A,ACTR1A
ARP3,ACTR3
ARP11,ACTR3B
ARP3beta,ACTR3B
FKSG73,ACTR3BP2
Arp5,ACTR5
FLJ12785,ACTR5
INO80M,ACTR5
ACTR11,ACTR10
Arp10,ACTR10
Arp11,ACTR10
HARP11,ACTR10
AIP1,ACTRT1
ARIP1,ACTRT1
Arp-T1,ACTRT1
KIAA0705,ACTRT1
ActR-IIB,ACVR2B
ADA1,ADA
ADGF,ADA2
CECR1,ADA2
IDGFL,ADA2
Tenr,ADAD1
FLJ00337,ADAD2
TENRL,ADAD2
ADAM1,ADAM1A
ADAM1P,ADAM1A
Ftna,ADAM1A
FTNAP,ADAM1A
PH-30a,ADAM1A
CT15,ADAM2
CT15,ADAM2
FTNB,ADAM2
FTNB,ADAM2
PH-30b,ADAM2
PH-30b,ADAM2
PH30,ADAM2
PH30,ADAM2
ADAM3,ADAM3A
CYRN1,ADAM3A
tMDCI,ADAM3A
ADAM5P,ADAM5
tMDCII,ADAM5
C14orf96,ADAM6
tMDCIV,ADAM6
C14orf96,ADAM6
tMDCIV,ADAM6
CD156,ADAM8
CD156A,ADAM8
MS2,ADAM8
CORD9,ADAM9
CORD9,ADAM9
KIAA0021,ADAM9
KIAA0021,ADAM9
MCMP,ADAM9
MCMP,ADAM9
MDC9,ADAM9
MDC9,ADAM9
Mltng,ADAM9
Mltng,ADAM9
CD156C,ADAM10
HsT18717,ADAM10
kuz,ADAM10
MADM,ADAM10
MDC,ADAM11
MCMPMltna,ADAM12
MLTN,ADAM12
ADAM27,ADAM18
ADAM27,ADAM18
tMDCIII,ADAM18
tMDCIII,ADAM18
MLTNB,ADAM19
ADAM31,ADAM21
MDC3,ADAM23
CT73,ADAM29
svph1,ADAM29
C20orf153,ADAM33
dJ964F7.1,ADAM33
DKFZp434K0521,ADAM33
C3-C5,ADAMTS1
KIAA1346,ADAMTS1
METH1,ADAMTS1
ADAM-TS2,ADAMTS2
ADAMTS-3,ADAMTS2
hPCPNI,ADAMTS2
NPI,ADAMTS2
PCINP,ADAMTS2
ADAMTS-4,ADAMTS3
KIAA0366,ADAMTS3
ADAMTS11,ADAMTS5
ADMP-2,ADAMTS5
ADAM-TS7,ADAMTS7
DKFZp434H204,ADAMTS7
ADAMTS7P2,ADAMTS7P1
KIAA1312,ADAMTS9
ADAM-TS10,ADAMTS10
C9orf8,ADAMTS13
DKFZp434C2322,ADAMTS13
FLJ42993,ADAMTS13
MGC118899,ADAMTS13
MGC118900,ADAMTS13
TTP,ADAMTS13
vWF-CP,ADAMTS13
VWFCP,ADAMTS13
ADAMTS16s,ADAMTS16
ADAMTS21,ADAMTS18
RP11-346A9.1,ADAMTS19-AS1
ADAMTSR1,ADAMTSL1
C9orf94,ADAMTSL1
FLJ35283,ADAMTSL1
KIAA0605,ADAMTSL2
KIAA1233,ADAMTSL3
punctin-2,ADAMTSL3
CENTA1,ADAP1
GCS1L,ADAP1
ADAR2,ADARB1
ADAR2a,ADARB1
ADAR2a-L1,ADARB1
ADAR2a-L2,ADARB1
ADAR2a-L3,ADARB1
ADAR2b,ADARB1
ADAR2c,ADARB1
ADAR2d,ADARB1
ADAR2g,ADARB1
DRABA2,ADARB1
DRADA2,ADARB1
hRED1,ADARB1
RED1,ADARB1
ADAR3,ADARB2
hRED2,ADARB2
RED2,ADARB2
DEADC1,ADAT2
dJ20N2.1,ADAT2
TAD2,ADAT2
TAD3,ADAT3
FLJ39600,ADCK1
FLJ35454,ADCK5
FLJ35454,ADCK5
AC1,ADCY1
DFNB44,ADCY1
AC2,ADCY2
HBAC2,ADCY2
KIAA1060,ADCY2
AC4,ADCY4
AC4,ADCY4
AC8,ADCY8
ADCY3,ADCY8
HBAC1,ADCY8
AC9,ADCY9
HCA2,ADCY10
RP1-313L4.2,ADCY10
SAC,ADCY10
SACI,ADCY10
Sacy,ADCY10
PACAP,ADCYAP1
ADDB,ADD2
ADDL,ADD3
C6orf103,ADGB
CAPN16,ADGB
dJ408K24.1,ADGB
FLJ23121,ADGB
GPR123,ADGRA1
KIAA1828,ADGRA1
GPR123-AS1,ADGRA1-AS1
FLJ38547,ADGRA3
GPR125,ADGRA3
PGR21,ADGRA3
BAI1,ADGRB1
BAI3,ADGRB3
KIAA0550,ADGRB3
DKFZp434B1272,ADGRD1
GPR133,ADGRD1
PGR25,ADGRD1
LACAT8,ADGRD1-AS1
EMR1,ADGRE1
TM7LN3,ADGRE1
CD312,ADGRE2
EMR2,ADGRE2
EMR3,ADGRE3
CD97,ADGRE5
TM7LN1,ADGRE5
GPR110,ADGRF1
hGPCR36,ADGRF1
PGR19,ADGRF1
DKFZp564O1923,ADGRF5
GPR116,ADGRF5
KIAA0758,ADGRF5
GPR116P1,ADGRF5P1
GPR56,ADGRG1
TM7LN4,ADGRG1
TM7XN1,ADGRG1
EDDM6,ADGRG2
GPR64,ADGRG2
HE6,ADGRG2
TM7LN2,ADGRG2
GPR97,ADGRG3
Pb99,ADGRG3
PGR26,ADGRG3
GPR112,ADGRG4
PGR17,ADGRG4
RP1-299I16,ADGRG4
GPR114,ADGRG5
PGR27,ADGRG5
FLJ14937,ADGRG6
GPR126,ADGRG6
FLJ14454,ADGRG7
GPR128,ADGRG7
CIRL1,ADGRL1
KIAA0821,ADGRL1
LEC2,ADGRL1
LPHN1,ADGRL1
ELTD1,ADGRL4
ETL,ADGRL4
DKFZp761P0710,ADGRV1
FEB4,ADGRV1
GPR98,ADGRV1
KIAA0686,ADGRV1
MASS1,ADGRV1
USH2C,ADGRV1
VLGR1,ADGRV1
ADH1,ADH1A
ADH2,ADH1B
ADH3,ADH1C
ADH5B,ADH5P4
ADH5B,ADH5P4
bA707M13.2,ADH5P4
bA707M13.2,ADH5P4
ADH-5,ADH6
APL1,ADI1
APL1,ADI1
ARD,ADI1
ARD,ADI1
FLJ10913,ADI1
FLJ10913,ADI1
HMFT1638,ADI1
HMFT1638,ADI1
MTCBP-1,ADI1
MTCBP-1,ADI1
mtnD,ADI1
mtnD,ADI1
SIPL,ADI1
SIPL,ADI1
MGC39724,ADIG
RP5-1100H13.2,ADIG
SMAF1,ADIG
ACDC,ADIPOQ
ACRP30,ADIPOQ
adiponectin,ADIPOQ
apM1,ADIPOQ
GBP28,ADIPOQ
ACDCR2,ADIPOR2
ACDCR2,ADIPOR2
PAQR2,ADIPOR2
PAQR2,ADIPOR2
AFRO,ADIRF
APM2,ADIRF
C10orf116,ADIRF
AK,ADK
AM,ADM
AM2,ADM2
FLJ21135,ADM2
ADNP1,ADNP
KIAA0784,ADNP
KIAA0863,ADNP2
ZNF508,ADNP2
C10orf22,ADO
FLJ14547,ADO
ADORA2,ADORA2A
RDC8,ADORA2A
C22orf45,ADORA2A-AS1
FLJ34651,ADORA2A-AS1
ARH2,ADPRHL1
C17orf48,ADPRM
MDS006,ADPRM
ADRA1C,ADRA1A
ADRA1L1,ADRA1A
ADRA1,ADRA1D
ADRA1A,ADRA1D
ADRA1R,ADRA1D
ADRB2R,ADRB2
ADRBR,ADRB2
B2AR,ADRB2
BAR,ADRB2
ARM1,ADRM1
GP110,ADRM1
PSMD16,ADRM1
Rpn13,ADRM1
ADSSL1,ADSS1
FLJ38602,ADSS1
AIG1L,ADTRP
C6orf105,ADTRP
dJ413H6.1,ADTRP
MGC17922,AEBP2
FLJ12484,AEN
FLJ12562,AEN
ISG20L1,AEN
FLJ36748,AFAP1L1
FMR2,AFF2
FRAXE,AFF2
AF5Q31,AFF4
MCEF,AFF4
AFG1,AFG1L
LACE1,AFG1L
SCA28,AFG3L2
SPAX5,AFG3L2
AFG3L2P,AFG3L2P1
ALB2,AFM
ALBA,AFM
FETA,AFP
HPAFP,AFP
ASRG,AGA
LOC100130776,AGAP2-AS1
PUNISHER,AGAP2-AS1
CTGLF2,AGAP5
Em:AC073389.1,AGAP5
AGAP7,AGAP7P
bA109G10.1,AGAP7P
CTGLF4,AGAP7P
bA301J7.2,AGAP9
CTGLF6,AGAP9
FLJ00312,AGAP9
AGAP10,AGAP10P
bA144G6.2,AGAP10P
bA358L16.1,AGAP10P
CTGLF10P,AGAP10P
CTGLF7,AGAP10P
KIAA1975,AGAP11
bA164N7.2,AGAP12P
CTGLF12P,AGAP12P
AGAP14,AGAP14P
bA145E20.1,AGAP14P
CTGLF11P,AGAP14P
CCP2,AGBL2
FLJ23598,AGBL2
CCP3,AGBL3
MGC32955,AGBL3
RAGE,AGER
RAGE,AGER
RAGE,AGER
RAGE,AGER
RAGE,AGER
RAGE,AGER
SCARJ1,AGER
SCARJ1,AGER
SCARJ1,AGER
SCARJ1,AGER
SCARJ1,AGER
SCARJ1,AGER
sRAGE,AGER
sRAGE,AGER
sRAGE,AGER
sRAGE,AGER
sRAGE,AGER
sRAGE,AGER
FLJ10842,AGK
FLJ10842,AGK
MULK,AGK
MULK,AGK
AGKY1,AGKP1
GDE,AGL
FLJ23384,AGMAT
FLJ16237,AGMO
TMEM195,AGMO
EIF2C4,AGO4
FLJ20033,AGO4
hAGO4,AGO4
KIAA1567,AGO4
LPAAT-alpha,AGPAT1
LPAAT-alpha,AGPAT1
LPAAT-alpha,AGPAT1
LPAAT-alpha,AGPAT1
LPAAT-alpha,AGPAT1
LPAAT-alpha,AGPAT1
LPAAT-alpha,AGPAT1
BSCL,AGPAT2
LPAAT-beta,AGPAT2
LPAAT-gamma,AGPAT3
LPAAT3,AGPAT3
dJ473J16.2,AGPAT4
LPAAT-delta,AGPAT4
FLJ11210,AGPAT5
FLJ11210,AGPAT5
LPAAT-e,AGPAT5
LPAAT-e,AGPAT5
LPAAT-epsilon,AGPAT5
LPAAT-epsilon,AGPAT5
AG2,AGR2
HAG-2,AGR2
PDIA17,AGR2
XAG-2,AGR2
BCMP11,AGR3
hAG-3,AGR3
HAG3,AGR3
PDIA18,AGR3
Agrt,AGRP
ART,AGRP
ASIP2,AGRP
CCP1,AGTPBP1
KIAA1035,AGTPBP1
Nna1,AGTPBP1
AT2,AGTR2
MRX88,AGTR2
AHCTF1P,AHCTF1P1
ELYS-like,AHCTF1P1
SAHH,AHCY
IRBIT,AHCYL1
PPP1R78,AHCYL1
XPVKONA,AHCYL1
FLJ20069,AHI1
JBTS3,AHI1
ORF1,AHI1
MGC5395,AHNAK
C14orf78,AHNAK2
bHLHe76,AHR
EDRF,AHSP
ERAF,AHSP
AIF-1,AIF1
AIF-1,AIF1
AIF-1,AIF1
AIF-1,AIF1
AIF-1,AIF1
AIF-1,AIF1
Em:AF129756.17,AIF1
Em:AF129756.17,AIF1
Em:AF129756.17,AIF1
Em:AF129756.17,AIF1
Em:AF129756.17,AIF1
Em:AF129756.17,AIF1
IBA1,AIF1
IBA1,AIF1
IBA1,AIF1
IBA1,AIF1
IBA1,AIF1
IBA1,AIF1
IRT-1,AIF1
IRT-1,AIF1
IRT-1,AIF1
IRT-1,AIF1
IRT-1,AIF1
IRT-1,AIF1
C9orf58,AIF1L
FLJ12783,AIF1L
IBA2,AIF1L
AIF,AIFM1
AUNX1,AIFM1
CMTX4,AIFM1
DFNX5,AIFM1
NAMSD,AIFM1
PDCD8,AIFM1
AMID,AIFM2
FLJ14497,AIFM2
FSP1,AIFM2
PRG3,AIFM2
AIFL,AIFM3
FLJ30473,AIFM3
AIG-1,AIG1
dJ95L4.1,AIG1
FLJ10485,AIG1
bA400P21.1,AIMP1P1
SCYE1P,AIMP1P1
LCA4,AIPL1
APECED,AIRE
APS1,AIRE
PGA1,AIRE
AIR,AIRN
IGF2R-AS1,AIRN
IGF2RAS,AIRN
NCRNA00088,AIRN
MOT8,AJAP1
SHREW-1,AJAP1
SHREW1,AJAP1
JUB,AJUBA
MGC15563,AJUBA
AK3L1,AK3
AK6,AK3
AKL3L1,AK3
HsT26053,AK3P2
AK3,AK4
AK3L1,AK4
CINAP,AK6
CFAP75,AK7
FAP75,AK7
FLJ32864,AK7
C9orf98,AK8
FLJ32704,AK8
C18orf42,AKAIN1
AKAP121,AKAP1
AKAP149,AKAP1
AKAP84,AKAP1
D-AKAP1,AKAP1
PPP1R43,AKAP1
PRKA1,AKAP1
S-AKAP84,AKAP1
SAKAP84,AKAP1
TDRD17,AKAP1
AKAP82,AKAP4
CT99,AKAP4
Fsc1,AKAP4
hAKAP82,AKAP4
HI,AKAP4
p82,AKAP4
ADAP6,AKAP6
AKAP100,AKAP6
KIAA0311,AKAP6
mAKAP,AKAP6
PRKA6,AKAP6
AKAP15,AKAP7
AKAP18,AKAP7
D-AKAP2,AKAP10
MGC9414,AKAP10
PRKA10,AKAP10
AKAP220,AKAP11
DKFZp781I12161,AKAP11
FLJ11304,AKAP11
KIAA0629,AKAP11
PPP1R44,AKAP11
PRKA11,AKAP11
AKAP250,AKAP12
SSeCKS,AKAP12
AKAP-Lbc,AKAP13
ARHGEF13,AKAP13
BRX,AKAP13
c-lbc,AKAP13
HA-3,AKAP13
Ht31,AKAP13
LBC,AKAP13
PROTO-LB,AKAP13
AKAP28,AKAP14
721P,AKAP17A
CCDC133,AKAP17A
CXYorf3,AKAP17A
DXYS155E,AKAP17A
MGC39904,AKAP17A
SFRS17A,AKAP17A
XE7,AKAP17A
XE7Y,AKAP17A
AKAP16B,AKAP17BP
AKAP16BP,AKAP17BP
C6orf166,AKIRIN2
dJ486L4.2,AKIRIN2
FLJ10342,AKIRIN2
ALDR1,AKR1B1
AR,AKR1B1
ALDRL4,AKR1B1P4
AKR1B1P,AKR1B1P5
AKR1B11,AKR1B10
AKR1B12,AKR1B10
ALDRLn,AKR1B10
ARL-1,AKR1B10
ARL1,AKR1B10
HIS,AKR1B10
HSI,AKR1B10
DDX,AKR1C3
HAKRB,AKR1C3
HSD17B5,AKR1C3
KIAA0119,AKR1C3
PGFS,AKR1C3
3-alpha-HSD,AKR1C4
C11,AKR1C4
CDR,AKR1C4
CHDR,AKR1C4
DD4,AKR1C4
HAKRA,AKR1C4
MGC22581,AKR1C4
SRD5B1,AKR1D1
AFARP1,AKR7A2P1
AKT,AKT1
PKB,AKT1
PRKBA,AKT1
RAC,AKT1
RAC-alpha,AKT1
Lobe,AKT1S1
MGC2865,AKT1S1
PRAS40,AKT1S1
PKBG,AKT3
PRKBG,AKT3
RAC-gamma,AKT3
FLJ13258,AKTIP
FTS,AKTIP
ALADH,ALAD
PBGS,ALAD
ASB,ALAS2
CD166,ALCAM
MEMD,ALCAM
ALDH1,ALDH1A1
PUMB1,ALDH1A1
RALDH1,ALDH1A1
RALDH2,ALDH1A2
ALDH6,ALDH1A3
RALDH3,ALDH1A3
10-fTHF,ALDH1L1
FDH,ALDH1L1
FTHFD,ALDH1L1
FLJ38508,ALDH1L2
mtFDH,ALDH1L2
ALDH3,ALDH3A1
ALDH10,ALDH3A2
FALDH,ALDH3A2
SLS,ALDH3A2
ALDH4,ALDH4A1
P5CDh,ALDH4A1
SSADH,ALDH5A1
SSDH,ALDH5A1
ATQ1,ALDH7A1
EPD,ALDH7A1
PDE,ALDH7A1
ATQL2,ALDH7A1P2
ATQL3,ALDH7A1P3
ATQL4,ALDH7A1P4
ALDH12,ALDH8A1
MGC10204,ALDH16A1
GSAS,ALDH18A1
P5CS,ALDH18A1
PYCS,ALDH18A1
SPG9,ALDH18A1
CDGS4,ALG3
D16Ertd36e,ALG3
Not56,ALG3
NOT56L,ALG3
bA421P11.2,ALG5
ALG10A,ALG10
DIE2,ALG10
